frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
85,1776361255.8328,0,6,0.364555,0.542219,-0.054632,0.173110,-0.197314,-0.054632
85,1776361255.8328,0,7,0.349879,0.565875,-0.035108,0.158434,-0.173658,-0.035108
85,1776361255.8328,0,8,0.320488,0.567465,-0.022448,0.129044,-0.172068,-0.022448
85,1776361255.8328,0,9,0.295290,0.604734,-0.070190,0.103845,-0.134800,-0.070190
85,1776361255.8328,0,10,0.372864,0.604546,-0.061612,0.181420,-0.134987,-0.061612
85,1776361255.8328,0,11,0.352369,0.621665,-0.028726,0.160924,-0.117869,-0.028726
85,1776361255.8328,0,12,0.320340,0.623362,-0.010423,0.128896,-0.116171,-0.010423
85,1776361255.8328,0,13,0.304200,0.671861,-0.079708,0.112756,-0.067673,-0.079708
85,1776361255.8328,0,14,0.365509,0.664058,-0.062181,0.174064,-0.075476,-0.062181
85,1776361255.8328,0,15,0.345109,0.678298,-0.023376,0.153664,-0.061235,-0.023376
85,1776361255.8328,0,16,0.316208,0.677686,-0.003236,0.124763,-0.061847,-0.003236
85,1776361255.8328,0,17,0.310695,0.733313,-0.089223,0.119250,-0.006220,-0.089223
85,1776361255.8328,0,18,0.357441,0.719578,-0.066480,0.165996,-0.019956,-0.066480
85,1776361255.8328,0,19,0.335159,0.730513,-0.036693,0.143714,-0.009020,-0.036693
85,1776361255.8328,0,20,0.309082,0.732958,-0.018750,0.117637,-0.006575,-0.018750
90,1776361256.6163,0,0,0.187538,0.762849,0.000000,0.000000,0.000000,0.000000
90,1776361256.6163,0,1,0.205404,0.660734,0.011189,0.017866,-0.102115,0.011189
90,1776361256.6163,0,2,0.245959,0.558391,-0.007159,0.058420,-0.204458,-0.007159
90,1776361256.6163,0,3,0.268606,0.475358,-0.025988,0.081067,-0.287491,-0.025988
90,1776361256.6163,0,4,0.259049,0.405481,-0.041854,0.071510,-0.357368,-0.041854
90,1776361256.6163,0,5,0.275997,0.569668,-0.067123,0.088459,-0.193181,-0.067123
90,1776361256.6163,0,6,0.362955,0.574820,-0.073986,0.175416,-0.188029,-0.073986
90,1776361256.6163,0,7,0.345716,0.598925,-0.056283,0.158178,-0.163924,-0.056283
90,1776361256.6163,0,8,0.315855,0.598887,-0.044266,0.128317,-0.163961,-0.044266
90,1776361256.6163,0,9,0.287268,0.637006,-0.083315,0.099730,-0.125842,-0.083315
90,1776361256.6163,0,10,0.371360,0.638490,-0.082764,0.183822,-0.124359,-0.082764
90,1776361256.6163,0,11,0.348317,0.655937,-0.050476,0.160779,-0.106912,-0.050476
90,1776361256.6163,0,12,0.314801,0.656390,-0.031102,0.127262,-0.106459,-0.031102
90,1776361256.6163,0,13,0.295073,0.706235,-0.092802,0.107535,-0.056614,-0.092802
90,1776361256.6163,0,14,0.363817,0.696829,-0.081786,0.176279,-0.066020,-0.081786
90,1776361256.6163,0,15,0.341801,0.710526,-0.041587,0.154263,-0.052322,-0.041587
90,1776361256.6163,0,16,0.311645,0.709237,-0.019113,0.124107,-0.053612,-0.019113
90,1776361256.6163,0,17,0.301360,0.769336,-0.102548,0.113821,0.006488,-0.102548
90,1776361256.6163,0,18,0.353979,0.752699,-0.084391,0.166440,-0.010149,-0.084391
90,1776361256.6163,0,19,0.330892,0.761311,-0.054167,0.143354,-0.001537,-0.054167
90,1776361256.6163,0,20,0.303872,0.762579,-0.035056,0.116334,-0.000270,-0.035056
95,1776361257.4002,0,0,0.184611,0.760062,0.000000,0.000000,0.000000,0.000000
95,1776361257.4002,0,1,0.202658,0.661210,0.007284,0.018047,-0.098852,0.007284
95,1776361257.4002,0,2,0.242857,0.556059,-0.013537,0.058246,-0.204003,-0.013537
95,1776361257.4002,0,3,0.267077,0.471787,-0.033880,0.082466,-0.288276,-0.033880
95,1776361257.4002,0,4,0.258655,0.403243,-0.051157,0.074044,-0.356820,-0.051157
95,1776361257.4002,0,5,0.267670,0.571326,-0.076668,0.083059,-0.188736,-0.076668
95,1776361257.4002,0,6,0.354369,0.574502,-0.088820,0.169758,-0.185561,-0.088820
95,1776361257.4002,0,7,0.346886,0.597154,-0.073463,0.162275,-0.162908,-0.073463
95,1776361257.4002,0,8,0.324291,0.598205,-0.062117,0.139680,-0.161858,-0.062117
95,1776361257.4002,0,9,0.278242,0.637161,-0.092075,0.093631,-0.122902,-0.092075
95,1776361257.4002,0,10,0.366399,0.637650,-0.096864,0.181788,-0.122412,-0.096864
95,1776361257.4002,0,11,0.349330,0.654948,-0.064867,0.164719,-0.105114,-0.064867
95,1776361257.4002,0,12,0.317532,0.655698,-0.044790,0.132921,-0.104365,-0.044790
95,1776361257.4002,0,13,0.285894,0.705042,-0.101083,0.101283,-0.055020,-0.101083
95,1776361257.4002,0,14,0.358594,0.697451,-0.095001,0.173983,-0.062611,-0.095001
95,1776361257.4002,0,15,0.338090,0.710577,-0.053618,0.153479,-0.049485,-0.053618
95,1776361257.4002,0,16,0.307052,0.708078,-0.029231,0.122441,-0.051985,-0.029231
