frame,timestamp,hand_idx,landmark_idx,x,y,z,x_rel,y_rel,z_rel
15,1776371857.9912,0,20,0.462042,0.777853,-0.003699,0.101925,-0.009519,-0.003699
15,1776371857.9912,1,0,0.566409,0.552894,-0.000000,0.000000,0.000000,0.000000
15,1776371857.9912,1,1,0.543315,0.510361,0.030761,-0.023095,-0.042532,0.030761
15,1776371857.9912,1,2,0.515573,0.482796,0.032185,-0.050837,-0.070097,0.032185
15,1776371857.9912,1,3,0.488728,0.474494,0.027955,-0.077681,-0.078400,0.027955
15,1776371857.9912,1,4,0.467830,0.478807,0.025504,-0.098579,-0.074087,0.025504
15,1776371857.9912,1,5,0.507601,0.454681,-0.005358,-0.058808,-0.098213,-0.005358
15,1776371857.9912,1,6,0.461171,0.436244,-0.009166,-0.105238,-0.116649,-0.009166
15,1776371857.9912,1,7,0.442944,0.460640,-0.001754,-0.123465,-0.092253,-0.001754
15,1776371857.9912,1,8,0.441642,0.482306,0.003873,-0.124768,-0.070588,0.003873
15,1776371857.9912,1,9,0.506731,0.469245,-0.026787,-0.059678,-0.083649,-0.026787
15,1776371857.9912,1,10,0.449330,0.468609,-0.034922,-0.117080,-0.084285,-0.034922
15,1776371857.9912,1,11,0.438572,0.498801,-0.024298,-0.127838,-0.054093,-0.024298
15,1776371857.9912,1,12,0.445737,0.516472,-0.015179,-0.120672,-0.036421,-0.015179
15,1776371857.9912,1,13,0.506776,0.492333,-0.043862,-0.059633,-0.060561,-0.043862
15,1776371857.9912,1,14,0.456054,0.514114,-0.045955,-0.110355,-0.038780,-0.045955
15,1776371857.9912,1,15,0.458628,0.538876,-0.029124,-0.107782,-0.014017,-0.029124
15,1776371857.9912,1,16,0.472040,0.546123,-0.017326,-0.094369,-0.006770,-0.017326
15,1776371857.9912,1,17,0.507636,0.519834,-0.058964,-0.058773,-0.033060,-0.058964
15,1776371857.9912,1,18,0.473028,0.543987,-0.054278,-0.093381,-0.008907,-0.054278
15,1776371857.9912,1,19,0.478572,0.559672,-0.041055,-0.087837,0.006778,-0.041055
